Vessel Name,Operator,Service,Phase,ETA,ETD,Previous port,Next port,actual_A,actual_D
BUDAPEST BRIDGE,Ocean Network Express,AL1,INBOUND,29/11/2019 04:00,29/11/2019 18:00,Savannah,Antwerp,29/11/2019 01:35,29/11/2019 20:32
MSC DESIREE,MSC,SAEC2,INBOUND,29/11/2019 14:00,30/11/2019 02:00,Bremerhaven,Hamburg,29/11/2019 17:21,30/11/2019 06:20
MSC APOLLO,MSC,NWC,INBOUND,30/11/2019 05:00,01/12/2019 02:00,El Dekheila,Rotterdam,01/12/2019 20:00,02/12/2019 06:08
ATHENIAN,HAPAG LLOYD,EPIC,INBOUND,30/11/2019 12:00,01/12/2019 05:30,Le Havre,Hamburg,30/11/2019 09:08,01/12/2019 10:20
BALAO,HAPAG LLOYD,CES,INBOUND,01/12/2019 06:00,01/12/2019 21:00,Moin,Vlissingen,01/12/2019 06:30,01/12/2019 14:20
YM FOUNTAIN,Yang Ming Line,IEX,INBOUND,01/12/2019 18:00,02/12/2019 10:00,Rotterdam,London Gateway Port,01/12/2019 19:39,02/12/2019 08:00
MSC SATURN,MSC,NWC,INBOUND,26/11/2019 05:01,26/11/2019 11:00,El Dekheila,Rotterdam,26/11/2019 11:33,26/11/2019 17:08
BF FORTALEZA,BG Freight,AD HOC,INBOUND,27/11/2019 18:00,28/11/2019 06:00,Santa Marta,Antwerp,28/11/2019 06:18,28/11/2019 11:00
CMA CGM MARSEILLE,CMA CGM,NEFGUI,INBOUND,30/11/2019 04:00,30/11/2019 15:00,Le Havre,Rotterdam,30/11/2019 05:10,30/11/2019 19:38
PALENA,HAPAG LLOYD,AL2,INBOUND,02/12/2019 04:00,02/12/2019 17:00,Hamburg,Le Havre,02/12/2019 06:23,02/12/2019 15:05
BOMAR REGINA,CMA CGM,NBE,INBOUND,03/12/2019 10:00,03/12/2019 17:00,Fortaleza,Rotterdam,03/12/2019 08:00,03/12/2019 14:20
CAP SAN NICOLAS,Maersk Line,SAEC1,INBOUND,03/12/2019 19:00,04/12/2019 11:00,Gent (Ghent),Hamburg,03/12/2019 23:55,04/12/2019 11:22
APL MEXICO CITY,CMA CGM,AUS,INBOUND,04/12/2019 09:00,04/12/2019 23:00,Damietta,Antwerp,04/12/2019 14:27,05/12/2019 00:36
APL AUSTRIA,CMA CGM,NEMO,INBOUND,06/12/2019 14:00,07/12/2019 06:00,Malta Freeport Distripark,Hamburg,11/12/2019 12:27,11/12/2019 22:15
YORK,MSC,EPIC1,INBOUND,07/12/2019 23:59,08/12/2019 16:00,Mundra,Rotterdam,08/12/2019 20:12,09/12/2019 12:22
AL BAHIA,HAPAG LLOYD,AL2,INBOUND,09/12/2019 04:00,09/12/2019 17:00,Hamburg,Le Havre,09/12/2019 10:30,09/12/2019 20:25
SAFMARINE NOMAZWE,Maersk Line,CLX,INBOUND,09/12/2019 18:00,10/12/2019 10:00,TERMINAL CONTECAR,Rotterdam,09/12/2019 15:15,10/12/2019 05:06
CMA CGM FORT ST MARIE,CMA CGM,NBE,INBOUND,10/12/2019 04:00,10/12/2019 15:00,Fortaleza,Rotterdam,09/12/2019 23:44,10/12/2019 08:10
ARIES J,CMA CGM,EUM,INBOUND,10/12/2019 05:00,10/12/2019 15:00,Agadir,Dunkerque,12/12/2019 00:45,12/12/2019 05:10
WASHINGTON EXPRESS,HAPAG LLOYD,AL3,INBOUND,10/12/2019 06:00,10/12/2019 17:00,Norfolk,Bremerhaven,10/12/2019 07:55,10/12/2019 23:20
SAN CLEMENTE,China Ocean Steamship Company,SAEC1,INBOUND,07/12/2019 00:30,07/12/2019 11:00,Gent (Ghent),Hamburg,07/12/2019 01:51,07/12/2019 12:23
MARFRET MARAJO,Marfret,NEFGUI,INBOUND,07/12/2019 18:00,08/12/2019 02:00,Le Havre,Rotterdam,07/12/2019 18:25,08/12/2019 02:10
MOL PRESENCE,Ocean Network Express,SAECS,INBOUND,08/12/2019 03:00,08/12/2019 18:00,Rotterdam,Bremerhaven,08/12/2019 03:55,08/12/2019 18:12
JAZAN,HAPAG LLOYD,IEX,INBOUND,08/12/2019 23:00,09/12/2019 14:00,Rotterdam,London Gateway Port,09/12/2019 04:15,09/12/2019 17:03
LAUST MAERSK,Maersk Line,CLX,INBOUND,16/12/2019 18:00,17/12/2019 10:00,TERMINAL CONTECAR,Rotterdam,16/12/2019 18:35,17/12/2019 06:15
CONTI MAKALU,MSC,AUS,INBOUND,18/12/2019 07:00,19/12/2019 04:00,Damietta,Antwerp,14/12/2019 16:40,15/12/2019 06:05
YM EVOLUTION,Yang Ming Line,AL1,INBOUND,20/12/2019 04:00,20/12/2019 18:00,Savannah,Antwerp,20/12/2019 19:03,21/12/2019 09:55
CAP SAN AUGUSTIN,Maersk Line,SAEC1,INBOUND,20/12/2019 06:00,20/12/2019 23:00,Gent (Ghent),Hamburg,20/12/2019 13:00,21/12/2019 00:11
MSC ARICA,MSC,SAEC2,INBOUND,20/12/2019 14:01,21/12/2019 02:00,Bremerhaven,Hamburg,21/12/2019 12:10,21/12/2019 20:08
